flight_id,t,x,y,z
11,1139191,-0.066852167,-0.232811818,0.427604359
11,1139196,-0.065365816,-0.229330141,0.428272085
11,1139201,-0.063895205,-0.225942822,0.427929063
11,1139206,-0.062587963,-0.222423823,0.427949056
11,1139211,-0.061089531,-0.219031517,0.42790107
11,1139216,-0.059887755,-0.215675408,0.428213448
11,1139221,-0.05837898,-0.212137748,0.427962652
11,1139226,-0.057052818,-0.208633518,0.428148289
11,1139231,-0.055740897,-0.205092526,0.427890379
11,1139236,-0.054498353,-0.201364544,0.42778332
11,1139241,-0.053574936,-0.197783597,0.42784618
11,1139246,-0.052508004,-0.194206114,0.428090253
11,1139251,-0.051462565,-0.190765282,0.427716133
11,1139256,-0.050123688,-0.187524347,0.427797365
11,1139261,-0.048807563,-0.183926528,0.426933963
11,1139266,-0.04750933,-0.18034524,0.427869651
11,1139271,-0.046341695,-0.176768347,0.425302578
11,1139276,-0.045003344,-0.173323903,0.423643296
11,1139281,-0.043352378,-0.169905514,0.42171659
11,1139286,-0.042026995,-0.166458738,0.419665461
11,1139291,-0.04068666,-0.16311524,0.420602327
11,1139296,-0.039232752,-0.159275065,0.416832345
11,1139301,-0.03808311,-0.155769571,0.417052876
11,1139306,-0.036859001,-0.152298454,0.413365821
11,1139311,-0.035520976,-0.14887395,0.41266596
11,1139316,-0.034362528,-0.145470401,0.411730721
11,1139321,-0.033048747,-0.142136802,0.409842194
11,1139326,-0.031677665,-0.138630219,0.409659401
11,1139331,-0.030450495,-0.135277053,0.406065405
11,1139336,-0.028706827,-0.13159375,0.404189451
11,1139341,-0.027394314,-0.128565409,0.403258186
11,1139346,-0.026066875,-0.12516373,0.401450974
11,1139351,-0.024797345,-0.121815923,0.402711093
11,1139356,-0.023583409,-0.118407987,0.399054853
11,1139361,-0.022437702,-0.115190501,0.396935835
11,1139366,-0.021190015,-0.111953233,0.395887196
11,1139371,-0.02014221,-0.108885019,0.394551128
11,1139376,-0.018844928,-0.105773326,0.392430779
11,1139381,-0.017637638,-0.102730284,0.392040583
11,1139386,-0.016469206,-0.099759072,0.392114677
11,1139391,-0.015629332,-0.096847471,0.38763531
11,1139396,-0.014616579,-0.093820737,0.38840729
11,1139401,-0.013765266,-0.091083176,0.385113893
11,1139406,-0.012696988,-0.088224004,0.384391279
11,1139411,-0.011568051,-0.085254829,0.384349834
11,1139416,-0.010289148,-0.082281575,0.380010543
11,1139421,-0.009240299,-0.079285213,0.378709841
11,1139426,-0.008029504,-0.076804757,0.377444903
11,1139431,-0.006918809,-0.073959684,0.376178301
11,1139436,-0.005929873,-0.071064207,0.374138987
11,1139441,-0.004862166,-0.068402575,0.373504588
11,1139446,-0.003863549,-0.065611882,0.373397796
11,1139451,-0.002845566,-0.062914603,0.370225415
11,1139456,-0.001857808,-0.060225711,0.368391526
11,1139461,-0.000753128,-0.05757977,0.36708066
11,1139466,0.000402323,-0.0548353,0.366563155
11,1139471,0.00144011,-0.052146872,0.362595856
